100HD/10KB     |CROSS   ONLY (1X02)     |  229.25|  141.49|   0.00|   9.28|10K|  |  1.290|  116.71|  0.000|   0.00|   8.00|   5.00|   2.50|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR.       |1X02 WITH HEAD.         |N70|8|  0.000|  229.25|20260305|00000000
100L/10KY      |10KY 1X02 WEDD          |  645.00|  398.04|   0.00|  22.05|10K|  |  3.940|  356.49|  0.000|   0.00|  13.00|   4.00|   2.50|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT.COST - FACETTING          |PLAIN BAND # T306T      |W60|2|  0.000|  645.00|20260305|00000000
100L/14K       |14K 1X02 WEDD           |  972.50|  600.23|   0.00|  22.05|14K|  |  4.450|  563.68|  0.000|   0.00|   8.00|   4.00|   2.50|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT.COST - FACETTING          |PLAIN BAND # T306T      |W60|2|  0.000|  972.50|20260305|00000000
100L/STER      |STER 1X02 WEDD          |   82.25|   50.71|   0.00|  22.05|STE|  |  0.000|    0.00|  3.388|  14.16|   8.00|   4.00|   2.50|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT.COST - FACETTING          |PLAIN BAND # T306T      |W60|2|  0.000|   82.25|20260305|00000000
100M/10KY      |10KY 1X02 WEDD          |  732.25|  451.85|   0.00|  22.05|10K|  |  4.590|  415.30|  0.000|   0.00|   8.00|   4.00|   2.50|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT.COST - FACETTING          |PLAIN BAND # T306T      |W60|2|  0.000|  732.25|20260305|00000000
100M/14K       |14K 1X02 WEDD           | 1122.25|  692.70|   0.00|  22.05|14K|  |  5.180|  656.15|  0.000|   0.00|   8.00|   4.00|   2.50|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT.COST - FACETTING          |PLAIN BAND # T306T      |W60|2|  0.000| 1122.25|20260305|00000000
100M/STER      |STER 1X02 WEDD          |   86.00|   53.04|   0.00|  22.05|STE|  |  0.000|    0.00|  3.947|  16.49|   8.00|   4.00|   2.50|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT.COST - FACETTING          |PLAIN BAND # T306T      |W60|2|  0.000|   86.00|20260305|00000000
100S/GF        |CROSS   BOXED           |   27.25|   16.69|   2.24|   5.80|GF |  |  0.000|    0.00|  2.070|   8.65|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |    1 |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR,BOX.   |                        |N90|8|  0.000|   27.25|20260305|00000000
100S/GFB       |CROSS   ONLY            |   24.50|   15.12|   0.91|   5.56|GF |  |  0.000|    0.00|  2.070|   8.65|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |    1 |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR.       |                        |N90|8|  0.000|   24.50|20260305|00000000
100S/STER      |CROSS   BOXED           |   27.25|   16.69|   2.24|   5.80|STE|R |  0.000|    0.00|  2.070|   8.65|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR,BOX.   |                        |N80|8|  0.000|   27.25|20260305|00000000
