Invoice,Customer,Item,Period,TransDate,Name,Amount,Quantity,Cost,Salesman,OrderBy,Terms
591360,BRU085,ENGRAVING,20140331,5Z201403,5*BRUNEL GOLDSMITH,085000013,400000,001000000,00,07,2
591360,BRU085,,20140331,5X201403,5*BRUNEL GOLDSMITH,085000001,400000,000000000,00,07,2
591361,GCL720,,20140331,5X201403,5GEMALTA CO-OPERATIVE,079000000,861000,000000000,00,05,9
591361,GCL720,REPAIRS,20140331,5Z201403,5GEMALTA CO-OPERATIVE,079000016,500000,001000000,00,05,9
591361,GCL720,,20140331,5X201403,5GEMALTA CO-OPERATIVE,079000001,550000,000000000,00,05,9
591361,GCL720,,20140331,1X201403,5GEMALTA CO-OPERATIVE,079000000,000000,000000000,00,00,0
591361,GCL720,,20140331,1X201403,5GEMALTA CO-OPERATIVE,079000000,000000,000000000,00,00,0
591361,GCL720,,20140331,5X201403,5GEMALTA CO-OPERATIVE,079000000,82u000,000000000,00,05,9
591362,CHM130,,20140331,5X201403,5CHARM JEWELLERY LTD.,232000000,215000,000000000,00,00,0
591362,CHM130,,20140331,5X201403,5CHARM JEWELLERY LTD.,232000001,650000,000000000,00,00,0
591363,CUR205,,20140331,5X201403,5*CURRY'S 1978 LTD.,205000001,319000,000000000,00,00,0
591363,CUR205,S15L/STER,20140331,5Z201403,5*CURRY'S 1978 LTD.,205000024,825000,003000012,32,40,0
591363,CUR205,,20140331,5X201403,5*CURRY'S 1978 LTD.,205000001,550000,000000000,00,00,0
591364,DAN120,,20140331,5X201403,5*DANA DOW JLRS.  A116,120000000,078000,000000000,00,00,0
591364,DAN120,,20140331,5X201403,5*DANA DOW JLRS.  A116,120000001,550000,000000000,00,00,0
591365,GRA218,,20140331,5X201403,5*GRAHAM LTD.,218000000,681000,000000000,00,00,0
591365,GRA218,42A/GFB,20140331,5Z201403,5*GRAHAM LTD.,218000010,450000,001000006,23,20,0
591365,GRA218,13R---50/GF,20140331,5Z201403,5*GRAHAM LTD.,218000001,625000,001000001,00,00,0
591365,GRA218,,20140331,5X201403,5*GRAHAM LTD.,218000001,550000,000000000,00,00,0
591366,CHM130,,20140331,5X201403,5CHARM JEWELLERY LTD.,240000001,613000,000000000,00,00,0
591366,CHM130,SR120DM/STER,20140331,5Z201403,5CHARM JEWELLERY LTD.,240000010,856000,001000006,19,30,0
591366,CHM130,,20140331,5X201403,5CHARM JEWELLERY LTD.,240000001,550000,000000000,00,00,0
591367,HAG224,,20140331,5X201403,5*HAGERSVILLE JLRS. LT,224000001,736000,000000000,00,00,0
591367,HAG224,S400RM/10KY,20140331,5Z201403,5*HAGERSVILLE JLRS. LT,224000012,300000,001000007,34,60,0
591367,HAG224,,20140331,5X201403,5*HAGERSVILLE JLRS. LT,224000001,050000,000000000,00,00,0
591368,CJG130,,20140331,5X201403,5THE CANADIAN JLRY. GR,275000005,190000,000000000,00,04,1
591368,CJG130,1T092M/10K,20140331,5Z201403,5THE CANADIAN JLRY. GR,275000038,875000,001000026,06,04,1
591368,CJG130,,20140331,5X201403,5THE CANADIAN JLRY. GR,275000001,050000,000000000,00,04,1
591369,CJG130,,20140331,5X201403,5THE CANADIAN JLRY. GR,288000025,673000,000000000,00,00,0
591369,CJG130,S50DM/10K,20140331,5Z201403,5THE CANADIAN JLRY. GR,288000056,825000,001000036,33,10,0
591369,CJG130,S50DM/10K,20140331,5Z201403,5THE CANADIAN JLRY. GR,288000056,825000,001000036,33,10,0
591369,CJG130,S510DB/10K,20140331,5Z201403,5THE CANADIAN JLRY. GR,288000027,975000,001000017,51,90,0
591369,CJG130,S510DB/10K,20140331,5Z201403,5THE CANADIAN JLRY. GR,288000027,975000,001000017,51,90,0
591369,CJG130,,20140331,5X201403,5THE CANADIAN JLRY. GR,288000001,550000,000000000,00,00,0
591370,CJG130,,20140331,5X201403,5THE CANADIAN JLRY. GR,288000002,625000,000000000,00,02,4
591370,CJG130,CLAS.PET/STER,20140331,5Z201403,5THE CANADIAN JLRY. GR,288000008,200000,001000004,44,02,4
591370,CJG130,CLAS.SM/STER,20140331,5Z201403,5THE CANADIAN JLRY. GR,288000009,300000,001000004,50,32,4
591371,MAR394,,20140331,5X201403,5*MARTIN'S JEWEL & GIF,394000001,378000,000000000,00,00,0
